T,r,sigma,lamda,sigmaJ,muJ,Swap_Prices
1.036948939,0.354050324,0.802147636,0.495496755,0.151637334,0.656467553,0.91744912
1.724146621,0.449680857,0.807375697,0.349203119,0.466115898,0.410673042,0.878329203
0.832203061,0.205318545,0.57413429,0.185457571,0.284073593,0.208884562,0.591020451
1.422908742,0.396426339,0.549342807,0.557951869,0.487657092,0.430486304,0.694089033
0.285809991,0.245442811,0.893972706,0.376709679,0.735810685,0.894707173,1.02169551
0.894122585,0.675387071,0.730607694,0.235525137,0.441756637,0.816068368,0.823714652
0.919315163,0.18102954,0.413171945,0.152965637,0.227322401,0.417783258,0.44162135
0.7958919,0.630699043,0.219715219,0.11326561,0.376950057,0.76145933,0.280158418
0.995329742,0.586761685,0.834717814,0.306561132,0.670215572,0.53102996,0.927498658
0.732434536,0.719140837,0.241795741,0.301354723,0.839377316,0.780205564,0.432606569
1.902690471,0.750563074,0.622381035,0.300953024,0.707831517,0.269824615,0.720755443
0.975945884,0.728464341,0.89841452,0.658339369,0.666265786,0.874974622,1.181333948
1.593885231,0.194504642,0.743767236,0.374735559,0.778390865,0.362426537,0.872861209
0.733677475,0.215337661,0.306353344,0.487666133,0.841050054,0.410459136,0.529221118
1.589965173,0.11909678,0.80754092,0.333422722,0.237710351,0.499795237,0.863257178
1.840136825,0.415323002,0.429492815,0.640439273,0.339046817,0.45993151,0.598669355
0.590394301,0.676381501,0.879338636,0.72954536,0.474607757,0.598504273,1.04495672
1.041741969,0.371849356,0.57697926,0.181352959,0.869658654,0.39512898,0.654567551
1.848188773,0.474007831,0.713732178,0.129384264,0.413152545,0.353443371,0.737790244
0.190653287,0.447361696,0.385506161,0.121555281,0.186343481,0.3169341,0.393379655
0.872381411,0.551631218,0.416711732,0.418000747,0.652637912,0.162071853,0.533458731
1.260108253,0.64646819,0.163278271,0.119944781,0.78766766,0.291696465,0.236933055
1.097960606,0.487175912,0.521867557,0.520391172,0.627987089,0.469386559,0.693724235
1.713713599,0.305494165,0.71346677,0.497943892,0.747070477,0.801317996,0.981013154
0.554139174,0.787325551,0.724730781,0.643504254,0.706917276,0.698740205,0.946518264
1.989947752,0.253720464,0.304685279,0.302377477,0.467793532,0.722399586,0.4940318
1.203417667,0.512233575,0.141876954,0.382803943,0.50522975,0.135882966,0.259354771
1.925683176,0.423318894,0.176763267,0.341143139,0.243726953,0.772243218,0.413054049
0.812453996,0.22375433,0.232192289,0.632119824,0.219642358,0.578361594,0.446728741
0.41180048,0.536700797,0.151282366,0.462869888,0.495263559,0.449714179,0.287920904
1.391201984,0.203554461,0.845101357,0.319815154,0.126008064,0.310024272,0.864763322
1.201692825,0.769261038,0.262847045,0.171900967,0.776294287,0.49043228,0.360305984
0.872087773,0.476745205,0.689673108,0.552400829,0.392078731,0.842358018,0.908992432
0.204446423,0.74134241,0.341115551,0.249868931,0.340950193,0.133702605,0.362378925
1.152432655,0.164915615,0.645451389,0.161281963,0.506216343,0.718005298,0.707231202
1.223590887,0.330261,0.67453686,0.694739714,0.39482462,0.529320162,0.834794131
0.462601621,0.296548837,0.899963909,0.322320947,0.248693991,0.172436058,0.914571941
1.583041035,0.461024592,0.30252794,0.228730041,0.784345867,0.794022745,0.480963603
1.391144414,0.348557495,0.399882865,0.54148371,0.177499977,0.443950282,0.512486553
1.193598271,0.281265647,0.309135056,0.37384792,0.879455643,0.695687959,0.564672042
1.314214826,0.591874606,0.714527518,0.538245026,0.589799057,0.492781434,0.870890344
1.427154896,0.353566984,0.407755232,0.610903007,0.671629076,0.712180415,0.747304239
1.411159019,0.738812713,0.798418099,0.291337093,0.566976156,0.791670565,0.923483306
0.29610659,0.195054751,0.742955327,0.525591718,0.207715893,0.225608063,0.770275209
0.708812777,0.326771621,0.734249384,0.427476832,0.325179714,0.644207202,0.840344517
1.68673254,0.773706537,0.346531983,0.248982508,0.171570321,0.689669128,0.461785138
1.446966532,0.37107626,0.442381125,0.167384373,0.746382166,0.240472438,0.508263838
1.473656416,0.349261258,0.518500268,0.385860133,0.565910802,0.461636499,0.647158272
1.503105536,0.204169887,0.828001409,0.587518509,0.889717952,0.167160128,1.031316162
0.769322203,0.367214637,0.369720196,0.624759949,0.779801293,0.190127171,0.595748616
1.308822334,0.397504991,0.656106181,0.426231561,0.218543097,0.803919838,0.81950424
1.990935782,0.355372997,0.835716475,0.649320702,0.792641168,0.221584218,1.034876341
1.280219662,0.631443476,0.412989444,0.300161204,0.447262608,0.228658286,0.47436263
0.466100367,0.447166307,0.334550484,0.560895678,0.390393843,0.46635104,0.465593407
0.576306043,0.168488056,0.600075615,0.694151425,0.657356136,0.477216819,0.797276165
0.879614555,0.256100195,0.550216551,0.590521825,0.68615993,0.450163854,0.75285951
1.521257812,0.280785612,0.363022276,0.363028091,0.882793738,0.519499934,0.588169626
0.637935743,0.694142144,0.414124821,0.128234746,0.752419872,0.69381574,0.476434429
0.863135544,0.544446141,0.639251305,0.626938439,0.172902341,0.580475264,0.775998556
1.121599167,0.116810019,0.559581148,0.317027333,0.344193948,0.761099274,0.6871026
1.170612129,0.2468642,0.7936418,0.720102177,0.895264024,0.459951091,1.080309472
1.652388389,0.40840952,0.757181192,0.524458522,0.304277754,0.143229884,0.792412942
1.254583606,0.730301755,0.641793621,0.337269431,0.186846323,0.160157848,0.656614895
1.868472018,0.19893096,0.748623368,0.546756809,0.149349136,0.248072717,0.7780768
1.782512633,0.226933021,0.240257955,0.109805637,0.610801429,0.772862354,0.322321739
1.271503385,0.787676213,0.145600687,0.796125882,0.594712988,0.34755593,0.480251002
0.238621532,0.335029679,0.65194144,0.304660701,0.588495275,0.237024043,0.694755906
1.936230517,0.384685045,0.566417713,0.400747407,0.788945788,0.462093084,0.752427683
1.805586741,0.642192125,0.639665328,0.259233168,0.237635996,0.543704096,0.700362301
1.344902495,0.6730049,0.605035294,0.115484802,0.790057695,0.286998787,0.649104058
1.487855174,0.641762877,0.337103527,0.524479292,0.40035415,0.146656069,0.431223133
1.636148277,0.451440067,0.457150887,0.241965899,0.449739213,0.557724791,0.544008338
1.334278333,0.453107582,0.742511834,0.378016025,0.389221822,0.519957805,0.826953017
0.275066654,0.725770747,0.175924809,0.269596257,0.300039287,0.800001063,0.273798036
1.494873652,0.44980277,0.338980617,0.45836722,0.652050801,0.149505768,0.500963007
0.460803333,0.42334933,0.136538533,0.580392894,0.530363739,0.444378377,0.319286862
0.319511824,0.197907458,0.469665974,0.409603695,0.407006091,0.596676639,0.564549134
1.394952424,0.243050476,0.206714092,0.104993061,0.255636283,0.203004087,0.223615461
0.266001606,0.187219485,0.322045439,0.410949431,0.417743291,0.22393338,0.378086874
0.3041502,0.255511006,0.275585211,0.513173316,0.838690956,0.232053006,0.434061159
0.672955937,0.197927177,0.627871913,0.638089069,0.606550991,0.680219403,0.854126238
0.283210691,0.691601622,0.885034151,0.719055709,0.213073499,0.671188276,1.014703569
1.649268907,0.366772078,0.752094658,0.484423321,0.520930747,0.7855507,0.954405189
0.911245398,0.176219363,0.413325265,0.486589186,0.100013584,0.500645345,0.519972048
0.126480013,0.13704836,0.372313087,0.495135234,0.196265592,0.607149875,0.458109993
1.835353909,0.608624421,0.472599048,0.701062884,0.333043534,0.84542851,0.834971374
1.541164381,0.203025583,0.825624566,0.269855263,0.157783305,0.164595741,0.834139337
1.861974154,0.311649841,0.482564518,0.674553524,0.368964415,0.209949051,0.579325813
0.565326153,0.453576859,0.472481261,0.354735548,0.339988716,0.770990726,0.605850701
0.415708379,0.174693728,0.899329057,0.220991492,0.16921267,0.328460575,0.915236152
0.116842414,0.526724912,0.608222216,0.322777264,0.462187084,0.620404838,0.662133785
1.175592104,0.738369665,0.884256385,0.671454226,0.136568506,0.568871756,0.996795821
1.845505418,0.663877966,0.498033163,0.43016222,0.282043449,0.247112865,0.548048752
1.158468549,0.462856961,0.122880277,0.709986009,0.758461682,0.31277789,0.49523165
0.251611697,0.418924401,0.698398018,0.304807155,0.122547534,0.515126282,0.739152464
0.407221811,0.393216378,0.121228563,0.261304394,0.628735124,0.575879083,0.221327492
1.253387901,0.488260931,0.289661483,0.219711167,0.171305695,0.830025063,0.421738284
1.132973746,0.41524386,0.100036596,0.530094626,0.246933233,0.16369151,0.187172155
0.361608108,0.438722122,0.534992125,0.182729255,0.861594496,0.663941815,0.604734376
1.585303689,0.550361225,0.729093357,0.169557643,0.145617764,0.612813052,0.770176982
0.723050463,0.218020047,0.438055073,0.47674319,0.401669176,0.845083393,0.656009721
0.141841597,0.78807726,0.424371367,0.102078096,0.272518764,0.492354238,0.440941556
0.30326615,0.379890138,0.569297176,0.276660682,0.426033192,0.614872504,0.633697172
1.557696762,0.225747196,0.870610148,0.527787525,0.803230504,0.825368454,1.136689085
0.884654042,0.4290052,0.474801044,0.753091437,0.107833613,0.558869147,0.652419091
0.25193626,0.36532975,0.867717954,0.37201563,0.763786946,0.490195419,0.953165972
1.855341783,0.283396007,0.548824333,0.211623561,0.665714559,0.131827268,0.61433726
0.800808112,0.632068594,0.705409512,0.17487624,0.26574552,0.605296382,0.747510335
1.382955375,0.275501413,0.752584204,0.465287391,0.572628781,0.243982453,0.845578509
1.350275643,0.305519002,0.482207299,0.784845499,0.496727138,0.190338066,0.636837663
0.738771827,0.598251145,0.479691363,0.491845468,0.195592868,0.388980166,0.549748948
1.339436785,0.385268311,0.158985778,0.560940916,0.851214081,0.870831593,0.654971537
0.581613009,0.673766247,0.201050665,0.681067543,0.151297851,0.224302765,0.270194078
1.105532481,0.115310103,0.27553369,0.154967056,0.152220342,0.178097755,0.288190975
1.452066565,0.553732947,0.29299077,0.209652295,0.176193116,0.616226446,0.378469167
0.894932031,0.755525841,0.545615949,0.142505,0.608091837,0.777685525,0.614008087
0.657611066,0.253324611,0.206258326,0.781964486,0.436289296,0.821383029,0.608628213
1.868809333,0.558715567,0.480695292,0.541118074,0.262093841,0.138190795,0.523453131
0.108832768,0.26318917,0.814809201,0.263651214,0.236415268,0.778273229,0.85995334
0.841511573,0.273496351,0.776975553,0.748957719,0.518755509,0.758425284,1.037899658
0.484360316,0.747962335,0.65186579,0.748252159,0.541369573,0.427392433,0.805754899
0.647181239,0.426179711,0.698336893,0.554093387,0.813281134,0.875688051,0.962748749
1.463339277,0.500092893,0.386155033,0.135714528,0.487580395,0.49833813,0.437254536
1.268739662,0.452911503,0.202623234,0.755786171,0.288770071,0.825357868,0.651226705
0.922526342,0.290922583,0.145706305,0.488171626,0.583517581,0.686260824,0.421723077
1.88691664,0.762214726,0.696668834,0.3440746,0.693008548,0.859828133,0.896257056
1.437602766,0.611934712,0.240101641,0.630730042,0.751409304,0.67375675,0.646083123
0.681615368,0.313298825,0.489164328,0.466244013,0.470341369,0.414915668,0.596523498
1.209100344,0.622343085,0.189605921,0.391112726,0.276290594,0.1923672,0.253113062
0.713412682,0.615817889,0.868713843,0.656455454,0.875056795,0.574129207,1.116350688
0.112811392,0.405648805,0.220897128,0.701331768,0.718677996,0.689500516,0.391364718
1.645818606,0.452642865,0.665996609,0.75084717,0.893031456,0.342943985,0.988156221
0.678934104,0.453693654,0.555371054,0.718691461,0.85980701,0.709716393,0.891282072
1.743058714,0.581461617,0.761061964,0.591836781,0.734314312,0.119558488,0.923314242
0.555712046,0.378714091,0.721318923,0.255838259,0.328548217,0.109920313,0.738510795
1.265652629,0.716275541,0.124055128,0.496723352,0.609689908,0.50268236,0.391292201
0.499236087,0.193273575,0.24368149,0.369916149,0.80473706,0.57498514,0.420775924
0.317850749,0.648445389,0.800341798,0.654277226,0.170294474,0.402879834,0.858716235
0.305986884,0.581427791,0.884484345,0.44856554,0.518119756,0.865306229,1.020673067
1.668732572,0.226195589,0.105900246,0.478012648,0.777739434,0.801754605,0.534456782
0.205496663,0.587323339,0.578380504,0.363401402,0.577151588,0.148709596,0.631846678
1.498048968,0.321871515,0.636760044,0.432100519,0.294470528,0.128076476,0.668129896
1.633230529,0.718667862,0.433883521,0.166168939,0.287957562,0.224099304,0.454747621
0.495700785,0.141850397,0.77022217,0.286105004,0.418247614,0.548966884,0.827986533
0.808529443,0.140043494,0.164395858,0.347232661,0.541652442,0.868265169,0.392557715
1.903654451,0.610165206,0.285121604,0.64854433,0.64915365,0.62294078,0.660560356
0.560180286,0.226691968,0.532775942,0.217645463,0.268384015,0.512932619,0.573999265
0.685579077,0.23725142,0.603008514,0.538625869,0.654698991,0.899247833,0.858651906
0.430158219,0.650653788,0.448346071,0.669694633,0.662808586,0.236924153,0.603944932
0.266230682,0.680065563,0.3099314,0.480765041,0.661308745,0.728364795,0.477845632
1.392328713,0.598852612,0.204617905,0.737345836,0.13907437,0.109269154,0.247870639
1.773315714,0.751142179,0.541219041,0.379996797,0.474810321,0.821271769,0.743349343
1.231307689,0.574111935,0.341197955,0.349476234,0.291786519,0.147336866,0.380989224
1.228195806,0.489682442,0.525119841,0.250252484,0.202693154,0.429509465,0.569328154
0.809382983,0.732923494,0.444421473,0.365585664,0.662855038,0.607887646,0.59859333
0.196799515,0.753369976,0.797050533,0.694202097,0.472555982,0.343324981,0.878304794
1.088558883,0.351629421,0.107712393,0.632326961,0.327985056,0.848322235,0.533297091
0.386859505,0.282096968,0.272724203,0.590562565,0.303951784,0.73557273,0.477872688
1.585862349,0.101607751,0.796215506,0.29783395,0.70737137,0.834051282,0.948917476
0.172429123,0.272588953,0.575175236,0.199376331,0.520798644,0.228333663,0.600714263
1.78926304,0.444393571,0.485073745,0.101701847,0.127963987,0.581630696,0.516325769
1.303857732,0.443373803,0.623682421,0.607921028,0.178508073,0.507816457,0.739156414
0.49738339,0.313313348,0.271681194,0.702037348,0.217468546,0.578125196,0.467721159
1.098271931,0.353406836,0.350126128,0.762284297,0.392932805,0.898062588,0.789164719
1.494932798,0.722624293,0.273501886,0.703354019,0.342029573,0.884324296,0.725639369
1.913647624,0.242046972,0.801237273,0.369648133,0.723159823,0.791452901,0.989720907
1.470326925,0.117663276,0.742551082,0.585511628,0.782998416,0.680418151,1.009777575
1.531841618,0.69149722,0.683532862,0.352757089,0.836011465,0.842899482,0.900922157
0.777943038,0.148379005,0.377477559,0.198042604,0.434590289,0.238776419,0.414585323
1.111985457,0.569939228,0.599571505,0.574235672,0.280517866,0.263192491,0.657559837
0.176374927,0.217217703,0.836837,0.636362542,0.81281901,0.457972797,0.972537845
0.801382296,0.250529172,0.347290736,0.256912817,0.504698935,0.445352207,0.427509201
